position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló III.-Sima Szoft,28,26,1,1,53
2.,Budai XI SE II.,28,23,3,2,49
3.,Pénzügyőr SE V.,28,23,1,4,47
4.,BKV Előre SC I.,28,14,10,4,38
5.,MVM SE I.,28,15,3,10,33
6.,Budai XI SE I.,28,14,4,10,32
7.,Kőbánya SC I.,28,13,4,11,30
8.,OTP SK I.,28,12,5,11,29
9.,BEAC I.-PPKO,28,13,2,13,28
10.,Igazságügyi SC I.,28,8,3,17,19
11.,Pestszentimrei PSE III.,28,7,5,16,19
12.,Pestújhelyi SC II.,28,7,4,17,18
13.,MAFC I.,28,5,1,22,11
14.,ESMTK I.,28,4,1,23,9
15.,EGIS SE I.,28,2,1,25,4
16.,VEMAX SE III.,0,0,0,0,0
