position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló SI IV.,30,28,2,0,58
2.,Kispest SE I.,30,24,4,2,52
3.,MAVEX SE III.,30,21,4,5,46
4.,MVM SE I.,30,19,3,8,41
5.,FKF Zrt. SK I.,30,19,2,9,40
6.,Postás SE II.,30,16,2,12,34
7.,Pénzügyőr SE V.,30,17,1,12,34
8.,KSI SE III.,30,14,2,14,30
9.,ESMTK I.,30,12,5,13,29
10.,Szufla SE I.-Kerepes,30,8,5,17,21
11.,Budai XI SE I.,30,7,5,18,19
12.,Ikarus BSE I.,30,9,1,20,19
13.,MAFC I.,30,7,4,19,18
14.,OTP SK I.,30,8,2,20,18
15.,Kőbánya SC I.,30,8,2,20,18
16.,Asztalitenisz Egyetem SE,30,1,0,29,2
