position,team,matches,wins,draws,losses,points
1.,Sanitas-BUDO SE III.-Autóklub,30,26,2,2,54
2.,ESMTK I.,30,25,1,4,51
3.,Szufla SE I.-Kerepes,30,22,5,3,49
4.,MALÉV SC II.,30,22,2,6,46
5.,MAVEX SE III.,30,19,2,9,40
6.,MTK Budapest,30,15,4,11,34
7.,KSI SE II.,30,16,2,12,34
8.,MVM SE I.,30,15,3,12,33
9.,Budai XI SE I.,30,11,4,15,26
10.,Ikarus BSE I.,30,9,6,15,24
11.,Pénzügyőr SE V.,30,11,1,18,22
12.,MAFC I.,30,7,5,18,19
13.,Kispest SE II.,30,7,3,20,17
14.,Postás SE II.,30,6,2,22,14
15.,Kőbánya SC I.,30,5,3,22,13
16.,OTP SK I.,30,1,1,28,0
