position,team,matches,wins,draws,losses,points
1.,Sanitas-Budó SE III.-Autóklub,30,27,1,2,55
2.,KSI Senior-KFKI SK II.,30,20,4,6,44
3.,MALÉV SC III.,30,20,4,6,44
4.,Pénzügyőr IX.,30,20,3,7,43
5.,MTSE,30,21,1,8,40
6.,Budai XI SE IV.-Kontra Csoport,30,18,1,11,37
7.,KSI SE VIII.-MIKI I.,30,16,4,10,36
8.,KIWI SE,30,13,2,15,28
9.,KSI SE VI.,30,11,2,17,24
10.,Shopsport SE,30,10,3,17,22
11.,Igazságügyi SC,30,9,3,18,20
12.,HCTC-Magyar-Kínai AK,30,9,2,19,20
13.,Kispest SE III.,30,8,4,18,19
14.,PDSK III.-Mátyásföldi Sasok,30,7,3,20,16
15.,Budai XI SE V.-Őrmező,30,6,3,21,14
16.,Lendület SE III.-PPKO,30,4,2,24,9
