position,team,matches,wins,draws,losses,points
1.,Szent Pál Akadémia-HSE I.,28,28,0,0,56
2.,Pestszentimrei PSE IV.,28,24,1,3,49
3.,BKV Előre SC I.,28,22,1,5,45
4.,Budai XI SE IV.,28,15,5,8,35
5.,ESMTK II.,28,15,3,10,33
6.,KSI SE III.,28,16,3,9,33
7.,ABC Centerline II.,28,14,2,12,30
8.,GALAXIS VSE I.,28,11,4,13,26
9.,KSI Senior-KÖZGÁZ SC és DSK,28,8,6,14,22
10.,MAVEX SE IV.-Mátyásföldi Sasok,28,7,3,18,17
11.,Angyalföldi TTE I.,28,6,5,17,17
12.,High Life SE II.-WASABI,28,6,6,16,17
13.,Pénzügyőr SE V.,28,5,4,19,14
14.,BVSC-Zugló IV.-Senior II.,28,6,0,22,11
15.,MAFC II.,28,2,7,19,11
16.,X BP I/B-1,0,0,0,0,0
