position,team,matches,wins,draws,losses,points
1.,BKV Előre  SC II.,24,21,2,1,44
2.,ESMTK III.,24,20,3,1,43
3.,Pénzügyőr SE VII.,24,17,3,4,37
4.,BPPK SE-Túróscsusza,24,12,2,10,26
5.,Budai XI SE IX.,24,11,3,10,25
6.,GALAXIS VSE III.,24,10,5,9,25
7.,High Life SE II.-Sólymok,24,9,3,12,21
8.,Budai XI SE X.-Külváros,24,9,3,12,21
9.,KIWI SE II.,24,7,3,14,17
10.,Hercules SE I.-Neting,24,6,4,14,16
11.,MAFC IV.-EMKÁBÉ,24,6,3,15,15
12.,Kispest SE V.-Brumi Szöcske Team,24,3,5,16,11
13.,BEAC IV.-Pancho,24,5,1,18,11
14.,XX BP II/1,0,0,0,0,0
,BVSC-Zugló V.-Senior II.-Loong,0,0,0,0,0
,X BP II/1,0,0,0,0,0
