position,team,matches,wins,draws,losses,points
1.,BEAC V.,28,24,2,2,50
2.,Kispest SE III.,28,21,2,5,44
3.,Puskás DSK,28,21,2,5,44
4.,Hercules SE II. - Topspin,28,19,2,7,40
5.,Pestszentimrei PSE VI.,28,18,3,7,39
6.,Budai XI SE VIII.-Kontra csoport,28,15,2,11,31
7.,OTP SK II.,28,12,6,10,30
8.,Budai XI SE XII.-Poén-Vadászok,28,12,2,14,26
9.,High Life SE I.-Diavoli,28,10,1,17,21
10.,Csepel-Sziget SE,28,7,6,15,20
11.,Belvárosi Asztalitenisz Egy. II.,28,7,5,16,19
12.,Pénzügyőr SE VIII.,28,3,10,15,16
13.,FKF SK IV.,28,7,1,20,15
14.,ESMTK IV.,28,6,3,19,15
15.,Rákosmente AK II.,28,3,3,22,9
16.,X BP II/2,0,0,0,0,0
