position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló IV.,26,25,0,1,50
2.,Csintalan-Sasok-PDSK I.,26,19,3,4,41
3.,ABC Centerline I.,26,18,3,5,39
4.,Szufla SE II.,26,16,5,5,37
5.,MAFC II.,26,15,4,7,34
6.,ABC Centerline II.,26,12,3,11,27
7.,Budai XI. SE II.,26,12,2,12,26
8.,Honvéd Zrinyi SE I.,26,9,5,12,23
9.,KSI SE III.,26,10,2,14,22
10.,KSI Senior-KÖZGÁZ SC és DSK,26,6,3,17,15
11.,Kispest SE III.,26,7,1,18,15
12.,Belvárosi Asztalitenisz Egyesület,26,3,7,16,12
13.,ÁNy Biztonsági Nyomda SK I.,26,5,2,19,12
14.,Pénzügyőr SE VII.,26,3,4,19,10
15.,Pénzügyőr SE VI.,0,0,0,0,0
,BVSC-Zugló Senior I.,0,0,0,0,0
