position,team,matches,wins,draws,losses,points
1.,Budai XI SE III.,24,20,1,3,41
2.,Pestújhelyi SC IV.,24,18,1,5,37
3.,HCTC-M-K AK II.-WASABI,24,16,4,4,36
4.,BVSC-Zugló IV.,24,16,4,4,35
5.,KSI Senior-KFKI SK II.,24,12,5,7,29
6.,OVIT SE II.,24,13,3,7,29
7.,Pénzügyőr SE V.,24,13,2,9,28
8.,ESMTK III.,24,13,1,10,27
9.,KSI SE IV.- MIKI I.,24,10,4,9,24
10.,Szent Pál Akadémia-HSE I.,24,10,1,13,21
11.,Pénzügyőr SE VI.,24,8,2,14,18
12.,HCTC-Magyar-Kínai AK I.,24,7,2,15,16
13.,Belvárosi Asztalitenisz Egyesület,24,7,2,15,16
14.,Multi Sport SE I.,24,5,3,16,11
15.,OTP SK II.,24,1,4,19,6
16.,FKF SK II.,24,2,1,21,5
