position,team,matches,wins,draws,losses,points
1.,Budai XI SE VII.,9,8,1,0,17
2.,Budai XI SE IX.,9,7,2,0,16
3.,Pestszentimrei PSE III.,9,6,2,1,14
4.,BKV Előre  SC II.,9,6,1,2,13
,Kispest SE IV.,9,6,1,2,13
6.,Shopsport SE,8,5,2,1,12
7.,SZÜV ASE I.,9,5,0,4,10
8.,OTP SK II.,9,3,3,3,9
9.,KSI SE VIII.,9,4,0,5,8
10.,FKF SK III.,9,3,1,5,7
11.,Kőbánya SC III.,8,3,0,5,6
12.,Angyalföldi TTE II.,9,2,1,6,5
13.,Palotai Titánok SE II.,9,2,0,7,4
,HCTC-Magyar-Kínai AK I.,9,2,0,7,4
15.,Rákosmente AK I.,9,1,2,6,4
16.,GALAXIS VSE II.,9,0,0,9,0
