position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló V.,30,28,0,2,56
2.,Budai XI SE VIII.,30,26,1,3,53
3.,Kispest SE IV.,30,25,0,5,50
4.,Törekvés SE,30,23,3,4,49
5.,Puskás DSK II.,30,18,2,10,38
6.,Budai XI. SE V.,30,18,2,10,38
7.,Szufla SE IV.,30,12,5,13,29
8.,ESMTK IV.,30,12,3,15,27
9.,KSI SE V.,30,11,3,16,25
10.,Budai XI SE VI.-Dunaholding,30,11,2,17,24
11.,Palotai Titánok SE I.,30,11,2,17,24
12.,Ikarus BSE II.,30,7,4,19,18
13.,BEAC I.,30,8,3,19,18
14.,BPPK SE I.-túróSCsusza,30,5,6,19,16
15.,KFKI SK III.,30,3,2,25,8
16.,Sanitas-Budó SE VI.,30,2,2,26,6
