match_id,home_team,away_team,score
9606,Erzsébeti Hajós II. ↔,KSI Senior-KÖZGÁZ SC és DSK,6 : 10
9598,Pénzügyőr SE VII. ↔,BP I/B X,0 : 0
9596,SZUFLA SE I.-Kerepes ↔,KSI Senior-KÖZGÁZ SC és DSK,13 : 3
9525,BVSC-Zugló Senior I. ↔,Honvéd Zrínyi SE I.,9 : 7
9542,MAFC II. ↔,Erzsébeti Hajós II.,11 : 5
9543,ABC Centerline I. ↔,Hercules-Neting Team,2 : 14
9599,KSI SE IV. ↔,ANY Biztonsági SK I.,14 : 2
9600,Budai XI. SE II. ↔,BVSC-Zugló SI IV.,7 : 9
9597,KSI SE V. ↔,SZUFLA SE II.,7 : 9
9527,SZUFLA SE II. ↔,Pénzügyőr SE VII.,7 : 9
9604,BP I/B X ↔,ABC Centerline I.,0 : 0
9544,BVSC-Zugló SI IV. ↔,Erzsébeti Hajós II.,15 : 1
9602,Honvéd Zrínyi SE I. ↔,SZUFLA SE I.-Kerepes,8 : 8
9526,ANY Biztonsági SK I. ↔,BVSC-Zugló Senior I.,5 : 11
9605,Budai XI. SE II. ↔,KSI SE V.,12 : 4
9601,KSI Senior-KÖZGÁZ SC és DSK ↔,MAFC II.,9 : 7
9603,Hercules-Neting Team ↔,KSI SE IV.,14 : 2
9608,KSI SE IV. ↔,BP I/B X,0 : 0
9609,SZUFLA SE I.-Kerepes ↔,ANY Biztonsági SK I.,13 : 3
9545,BVSC-Zugló Senior I. ↔,Hercules-Neting Team,2 : 14
9528,MAFC II. ↔,Honvéd Zrínyi SE I.,12 : 4
9529,ABC Centerline I. ↔,SZUFLA SE II.,11 : 5
9607,Pénzügyőr SE VII. ↔,Budai XI. SE II.,7 : 9
9610,KSI SE V. ↔,BVSC-Zugló SI IV.,11 : 5
