position,team,matches,wins,draws,losses,points
1.,OVIT SE II.,30,24,2,4,50
2.,Multi Sport SE I.,30,22,4,4,48
3.,MAFC III.-PANCHO,30,22,3,5,47
4.,Shopsport SE,30,20,3,7,43
5.,Budai XI SE X.,30,18,3,9,39
6.,Budai XI SE IV.-Kontra cs.,30,16,3,11,35
7.,BKV Előre  SC II.,30,12,9,9,33
8.,ABC Centerline III.,30,16,0,14,32
9.,ESZVK-Parazsak,30,13,2,15,28
10.,Szufla SE V.-Ragazzart,30,10,4,16,24
11.,MVM SE II.,30,8,6,16,21
12.,KSI SE VI.,30,10,1,19,21
13.,BPPK SE II.,30,7,2,21,16
14.,ESMTK V.,30,6,4,20,16
15.,Kőbánya SC II.,30,4,5,21,12
16.,Brumi Szöcske Team I.,30,5,3,22,12
