position,team,matches,wins,draws,losses,points
1.,Pénzügyőr SE V.,0,0,0,0,0
,MVM SE I.,0,0,0,0,0
,Budai XI SE III.,0,0,0,0,0
,GALAXIS VSE I.,0,0,0,0,0
,Pestszentimrei PSE III.,0,0,0,0,0
,Sanitas-Budo SE II.-Vármajor II.,0,0,0,0,0
,Kőbánya SC I.,0,0,0,0,0
,Pestszentimrei PSE II.,0,0,0,0,0
,Pestszentimrei PSE IV.,0,0,0,0,0
,BEAC I.-PPKO,0,0,0,0,0
,OTP SK I.,0,0,0,0,0
,MAFC I.,0,0,0,0,0
,Budai XI SE II.,0,0,0,0,0
,Pestújhelyi SC II.,0,0,0,0,0
,Igazságügyi SC I.,0,0,0,0,0
,ESMTK I.,0,0,0,0,0
